Date,Sex,FW Size
15-Jun-17,M,
15-Jun-17,M,
21-Jun-17,?,
21-Jun-17,?,
21-Jun-17,?,
22-Jun-17,F,
22-Jun-17,M,
23-Jun-17,?,
23-Jun-17,?,
2-May-18,?,
2-May-18,?,
2-May-18,?,
2-May-18,?,
3-May-18,?,
3-May-18,?,
3-May-18,?,
3-May-18,?,
3-May-18,?,
4-May-18,M,
4-May-18,?,
4-May-18,?,
4-May-18,?,
4-May-18,?,
4-May-18,?,
4-May-18,?,
4-May-18,?,
5-May-18,?,
5-May-18,M,
5-May-18,?,
5-May-18,?,
5-May-18,?,
6-May-18,?,
6-May-18,?,
6-May-18,M,
6-May-18,F,
6-May-18,?,
6-May-18,?,
6-May-18,M,
6-May-18,?,
6-May-18,?,
6-May-18,?,
6-May-18,?,
6-May-18,?,
6-May-18,?,
6-May-18,?,
6-May-18,?,
6-May-18,M,
6-May-18,?,
6-May-18,?,
6-May-18,?,
6-May-18,?,
6-May-18,?,
6-May-18,?,
6-May-18,?,
5-May-18,?,
5-May-18,?,
5-May-18,M,
5-May-18,?,
5-May-18,?,
5-May-18,?,
5-May-18,?,
5-May-18,?,
5-May-18,?,
5-May-18,M,
5-May-18,?,
5-May-18,?,
5-May-18,M,
5-May-18,?,
5-May-18,?,
5-May-18,?,
5-May-18,?,
5-May-18,?,
5-May-18,?,
5-May-18,?,
5-May-18,?,
5-May-18,?,
9-May-18,F,
9-May-18,?,
9-May-18,?,
9-May-18,M,
9-May-18,?,
9-May-18,?,
9-May-18,?,
9-May-18,?,
9-May-18,?,
9-May-18,?,
10-May-18,?,
10-May-18,M,
10-May-18,M,
10-May-18,?,
10-May-18,?,
10-May-18,?,
10-May-18,?,
10-May-18,?,
10-May-18,?,
10-May-18,?,
10-May-18,?,
10-May-18,?,
10-May-18,M,
10-May-18,M,
10-May-18,?,
10-May-18,?,
10-May-18,?,
10-May-18,?,
10-May-18,M,
10-May-18,?,
10-May-18,?,
11-May-18,?,
11-May-18,?,
11-May-18,?,
11-May-18,?,
11-May-18,?,
11-May-18,?,
11-May-18,?,
11-May-18,?,
11-May-18,M,
11-May-18,?,
11-May-18,?,
12-May-18,?,
13-May-18,?,
14-May-18,M,
14-May-18,M,
14-May-18,?,
14-May-18,?,
14-May-18,?,
14-May-18,?,
14-May-18,M,
14-May-18,?,
14-May-18,?,
14-May-18,?,
14-May-18,M,
16-May-18,F,
16-May-18,?,
16-May-18,?,
16-May-18,?,
16-May-18,?,
16-May-18,?,
16-May-18,?,
16-May-18,?,
16-May-18,?,
17-May-18,?,
17-May-18,?,
17-May-18,?,
17-May-18,?,
18-May-18,?,
18-May-18,?,
18-May-18,?,
